type,model_id,time_to_first_byte,time_to_first_token,total_time,num_output_tokens,tokens_per_second,content_validated,total_cost,status_code
chat_completion,bedrock_claude_haiku35_pipeline_mock,694,694,9903,271,27.365444814702613,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,606,606,10230,271,26.49071358748778,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,705,708,8546,271,31.71074186754037,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,822,825,12580,271,21.542130365659776,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,645,645,8147,271,33.26377807782006,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,630,647,10255,271,26.426133593369087,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,600,899,11290,271,24.00354295837024,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,606,607,12336,271,21.968223086900128,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,595,618,11465,271,23.637156563453992,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,577,601,9939,271,27.26632457993762,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,628,935,10214,271,26.532210691208146,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,583,583,8866,271,30.566207985562826,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,634,644,10886,271,24.89435972809113,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,594,595,9115,271,29.73121228743829,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,616,616,11398,271,23.77610107036322,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,630,630,10082,271,26.87958738345566,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,573,608,9236,271,29.341706366392376,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,612,614,10337,271,26.216503821224727,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,706,706,11584,271,23.394337016574585,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,597,597,12890,271,21.024049650892163,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,602,602,10179,271,26.623440416543865,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,622,624,10491,271,25.8316652368697,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,640,640,9776,271,27.720949263502455,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,685,708,8816,271,30.739564428312157,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,694,719,8893,271,30.47340604970201,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,639,639,11325,271,23.92935982339956,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,667,691,9680,271,27.99586776859504,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,598,607,9654,271,28.07126579656101,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,641,716,10740,271,25.232774674115454,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,627,629,10203,271,26.560815446437324,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,594,598,12640,271,21.439873417721518,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,595,596,10726,271,25.265709490956553,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,608,908,10204,271,26.558212465699725,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,601,603,8573,271,31.610871340254285,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,747,751,9863,271,27.476427050593127,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,684,688,8592,271,31.54096834264432,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,670,670,12021,271,22.543881540637216,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,593,597,9301,271,29.13665197290614,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,764,866,11567,271,23.428719633439957,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,1688,1715,10818,271,25.050841190608246,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,662,665,8600,271,31.511627906976745,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,580,653,8014,271,33.81582231095583,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,607,627,10318,271,26.26477999612328,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,607,632,8341,271,32.49010909962834,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,646,647,11418,271,23.73445437029252,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,645,645,11664,271,23.23388203017833,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,583,585,10674,271,25.388795203297732,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,580,580,10475,271,25.87112171837709,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,584,658,10940,271,24.77148080438757,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,583,583,10463,271,25.900793271528244,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,644,668,8078,271,33.547907897994556,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,605,607,10907,271,24.846428898872283,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,628,633,7648,271,35.43410041841004,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,626,628,11216,271,24.16191155492154,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,715,716,10391,271,26.080261764988933,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,618,619,10700,271,25.32710280373832,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,581,581,11836,271,22.896248732679958,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,609,613,13119,271,20.657062276088116,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,594,616,9200,271,29.456521739130437,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,718,718,11893,271,22.786513074918016,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,589,589,9185,271,29.504627109417527,True,0.0,200
