type,model_id,time_to_first_byte,time_to_first_token,total_time,num_output_tokens,tokens_per_second,content_validated,total_cost,status_code
chat_completion,bedrock_claude_haiku35_pipeline_mock,612,614,10700,271,25.32710280373832,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,876,878,10420,271,26.00767754318618,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,307,307,8600,271,31.511627906976745,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,871,939,10474,271,25.873591751002483,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,828,1145,9695,271,27.952552862300156,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,884,1184,12731,271,21.286623203204776,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,724,724,8753,271,30.96081343539358,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,675,675,12435,271,21.79332529151588,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,660,660,10317,271,26.267325772996024,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,723,723,9420,271,28.768577494692146,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,784,857,11562,271,23.438851409790693,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,978,979,9148,271,29.623961521644077,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,675,675,8191,271,33.08509339518984,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,1123,1143,10505,271,25.797239409804853,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,715,721,11720,271,23.12286689419795,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,410,413,8651,271,31.325858282279505,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,387,387,9141,271,29.64664697516683,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,650,1171,8711,271,31.110090689932267,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,771,775,8691,271,31.181682199976986,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,728,728,10846,271,24.98617001659598,True,0.0,200
