type,model_id,time_to_first_byte,time_to_first_token,total_time,num_output_tokens,tokens_per_second,content_validated,total_cost,status_code
chat_completion,bedrock_claude_haiku35_pipeline_mock,681,681,9837,271,27.549049506963506,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,589,665,9214,271,29.41176470588235,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,688,688,10456,271,25.91813312930375,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,583,587,10737,271,25.239824904535716,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,686,686,9910,271,27.34611503531786,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,599,599,9315,271,29.09286097691895,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,610,610,9915,271,27.332324760463944,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,685,686,12184,271,22.242284963887066,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,603,603,11995,271,22.592746977907463,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,726,726,12167,271,22.2733623736336,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,296,321,10811,271,25.06706132642679,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,284,284,8725,271,31.060171919770774,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,286,286,10767,271,25.16949939630352,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,321,322,10164,271,26.662731208185754,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,288,292,10333,271,26.226652472660408,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,298,318,10519,271,25.762905219127294,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,316,616,10056,271,26.94908512330947,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,272,295,10064,271,26.927662957074723,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,409,485,9900,271,27.373737373737374,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,301,301,11191,271,24.21588776695559,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,277,277,9446,271,28.689392335380056,True,0.0,200
chat_completion,bedrock_claude_haiku35_pipeline_mock,283,357,9975,271,27.167919799498748,True,0.0,200
